SMILE,CHEMBL-ID,IGC50
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],CHEMBL1223066,4.440926004
CCCCCCCO,CHEMBL273459,3.125568199
Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL190,2.216735991
CCCCC1(CC)C(=O)NC(=O)NC1=O,CHEMBL404422,2.787654777
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CHEMBL363207,4.865694868
CCCCCCCC(=O)OC,CHEMBL3183908,3.598398423
CCc1ccc(CC)cc1,CHEMBL3187283,3.784300185
CCOP(=S)(OCC)SCSC(C)(C)C,CHEMBL1406292,4.58506264
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,CHEMBL1079421,3.518637503
C=C(Cl)Cl,CHEMBL156455,2.665332978
Cc1cccc2c1Cc1ccccc1-2,CHEMBL1797283,4.449964685
CCCCC=O,CHEMBL18602,2.984826497
c1ccc(Nc2ccccc2)cc1,CHEMBL38688,4.00554898
CN(C)C(=O)SCCCCOc1ccccc1,CHEMBL388559,3.677914413
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,Chemspider ID-29888,3.187244127
CCCCCCCI,CHEMBL156095,4.50336353
Clc1cccc(-c2ccccc2)c1,PubChem CID-249266,3.925047579
C=CCCCO,PubChem CID-13181,1.723926311
O=C1NC(=O)NC(=O)C12CCC2,,1.67419433
CC1CCC(C(C)C)C(O)C1,CHEMBL256087,3.358385489
CC(C)OC=O,CHEMBL3184082,1.655836378
CCCCCC(C)O,CHEMBL449522,2.511625739
CC(=O)Nc1ccc(Br)cc1,CHEMBL59019,3.605376557
Nc1cnn(-c2ccccc2)c(=O)c1Br,PubchemID-76441,3.25328658
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,3.932855517
Cc1ccc2ccc(C)nc2c1,CHEMBL194876,3.665616425
C#CCCCCCC,PubChem ID-12370,3.690511365
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CHEMBL268164,2.928957043
c1ccc2c(c1)ccc1c3ccccc3ccc21,CHEMBL85685,4.585989284
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,CHEMBL1877125,3.254802234
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,PubChem CID-63089,5.25043764
Cc1ccccc1O,CHEMBL46931,2.76272999
CC(C)CCC(C)(C)C,PubChemCID-19041,3.932006938
Cc1ccc(C)c2ccccc12,CHEMBL362076,4.318554131
Cc1cc2c3ccccc3ccc2c2ccccc12,CHEMBL1797292,4.475900956
CCCC(C)=O,CHEMBL45345,1.751228052
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,CHEMBL14042,5.503539249
CCCOC(=O)CC,CHEMBL3185284,2.316486729
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,,3.528868944
Nc1ccc(O)cc1,CHEMBL1142,2.954946389
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CHEMBL110,3.054924489
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,CHEMBL519462,4.97872718
CCNc1nc(Cl)nc(N(CC)CC)n1,CHEMBL15063,3.547576584
NC(=O)c1cnccn1,CHEMBL614,1.604525267
CCC(Br)(CC)C(=O)NC(N)=O,CHEMBL1697828,2.81201637
Clc1ccccc1-c1ccccc1Cl,CHEMBL417802,4.303320913
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,CHEMBL1605821,3.041225739
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,CHEMBL561004,4.58824713
CC12CCC(CC1=O)C2(C)C,CHEMBL15768,2.922931535
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CAS Number-115-43-5,2.688479109
CCCCC(=O)OCC,CHEMBL47483,2.654724508
CC(=O)OCCC(C)C,CHEMBL42013,2.830310887
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,,4.408433693
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,CHEMBL3183220,4.482783486
CCCBr,CHEMBL1230095,2.691482847
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CHEMBL560579,3.700363056
COP(=S)(OC)SCC(=O)N(C)C=O,CHEMBL449733,3.00223071
Cc1ncnc2nccnc12,,2.150576176
NC(N)=S,CHEMBL260876,1.668460022
Cc1ccc(C)cc1,CHEMBL31561,3.593850906
CCc1ccccc1CC,CHEMBL3186870,3.565162569
ClC(Cl)(Cl)C(Cl)(Cl)Cl,CHEMBL160929,4.199588573
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,CHEMBL2289397,4.828366438
CCC[N+](=O)[O-],CHEMBL1449933,2.090813424
CC1CCC(C(C)C)C(=O)C1,CHEMBL1719455,2.388821967
CCN1c2cc(Cl)ccc2N(C)C(=O)c2cccnc21,CHEMBL69894,3.840233261
O=[N+]([O-])c1cccc(Cl)c1Cl,CHEMBL168024,4.075393969
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CHEMBL440,3.046745924
c1ccc2c(c1)-c1cccc3cccc-2c13,CHEMBL355014,4.869526153
CCCOC(C)C,PubChem CID-12304,1.97712442
Cc1cc(C)c2ccccc2c1,CHEMBL370524,4.224176818
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL2135534,4.445869881
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,CHEMBL468167,4.939911665
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,CHEMBL137283,4.781800761
c1ccc(C2CO2)cc1,CHEMBL1605493,3.385550831
CC(C)c1ccccc1,CHEMBL1398949,3.682516304
